3230.00,0,0.00,925.93,2494.95
4446.00,1,1.82,3663.00,3663.00
4588.00,0,0.00,4342.00,4342.00
5474.00,1,1.46,4856.00,4856.00
5889.00,1,1.25,5331.50,5331.50
6663.00,0,0.00,6276.00,6276.00
8271.50,1,1.25,6839.32,7345.57
9209.50,0,0.00,8740.50,8740.50
12049.00,1,1.25,10135.43,11123.07 
14214.00,1,1.25,12974.93,13426.16
15690.50,1,1.25,14777.25,14777.25
16411.50,0,0.00,15876.00,15876.00
17613.00,1,1.25,16837.25,16837.25
17789.00,0,0.00,17526.00,17526.00
18575.00,1,1.76,18007.00,18007.00
18999.00,0,0.00,18612.00,18612.00
20178.50,1,1.36,19413.75,19413.75
20527.50,0,0.00,20178.00,20178.00
21421.00,1,1.25,20799.25,20799.25
22237.50,1,1.78,21479.25,21479.25
22772.50,1,1.43,22155.00,22155.00
25334.00,1,2.51,22422.50,24984.00
27126.00,0,0.00,25545.22,26431.55
