2053.00,0,0.00,925.93,1545.33
3552.50,1,2.69,2627.75,2627.75
3603.00,0,0.00,3402.75,3402.75
4182.00,1,1.71,3717.50,3717.50
4603.00,1,2.15,4042.50,4042.50
7841.00,0,0.00,4910.86,7038.83
8874.50,1,1.46,8182.75,8182.75
11325.00,0,0.00,9326.67,10544.52
12526.50,1,1.59,11750.75,11750.75
13416.50,0,0.00,12796.50,12796.50
14519.50,1,2.35,13793.00,13793.00
15202.50,1,2.59,14511.00,14511.00
15589.00,1,2.13,15045.75,15045.75
15992.50,1,2.57,15440.75,15440.75
16375.50,1,2.19,15834.00,15834.00
17270.00,0,0.00,16647.75,16647.75
18210.00,1,1.50,17565.00,17565.00
19008.50,1,1.90,18259.25,18259.25
19361.50,1,2.04,18835.00,18835.00
21019.50,0,0.00,19696.60,20093.57
26000.00,1,4.00,21945.43,26128.41
27802.50,1,1.57,27181.75,27181.75
30639.00,0,0.00,28235.09,29846.30
31712.00,1,1.52,31000.50,31000.50
33345.50,1,2.09,31362.00,32995.50
33928.00,0,0.00,33461.75,33461.75
34833.00,1,2.36,34205.50,34205.50
36392.50,0,0.00,35087.66,35466.57
36921.50,1,1.60,36657.00,36657.00
37763.00,1,1.50,37167.25,37167.25
38174.00,0,0.00,37793.50,37793.50
39988.00,1,1.83,38906.00,38906.00
41073.00,0,0.00,40355.50,40355.50
41624.00,1,1.50,41173.50,41173.50
41552.50,0,0.00,41413.25,41413.25
42337.00,1,2.22,41769.75,41769.75
42733.50,1,1.77,42185.25,42185.25
42745.00,1,1.70,42564.25,42564.25
43238.00,0,0.00,42991.50,42991.50
44097.50,1,1.96,43492.75,43492.75
44510.00,0,0.00,44128.75,44128.75
45603.00,1,2.30,44881.50,44881.50
46487.50,0,0.00,45870.25,45870.25
47356.00,1,1.86,46746.75,46746.75
47633.50,1,1.55,47144.75,47144.75
47900.00,1,1.30,47416.75,47416.75
48588.00,1,2.06,47894.00,47894.00
48815.50,1,1.43,48351.75,48351.75
49390.50,1,1.53,48753.00,48753.00
49494.50,0,0.00,49267.50,49267.50
52138.50,1,2.77,49494.50,51788.50
54168.00,0,0.00,52270.30,53695.32
56562.50,1,2.80,54168.00,56212.50
56983.00,1,1.94,56422.75,56422.75
59852.50,0,0.00,57340.85,59291.12
63310.00,1,2.51,59852.50,62960.00
64036.50,0,0.00,63498.25,63498.25
64760.00,1,1.61,64223.25,64223.25
66261.00,0,0.00,65185.72,65335.07
67655.00,1,2.70,66958.00,66958.00
68324.00,0,0.00,67989.50,67989.50
